timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:02:38.569, NVIDIA A800 80GB PCIe, 80 %, 26 %, 19237 MiB, 81920 MiB, 306.61 W
2026/08/24 20:02:39.575, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19237 MiB, 81920 MiB, 299.28 W
2026/08/24 20:02:40.580, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19237 MiB, 81920 MiB, 296.29 W
2026/08/24 20:02:41.585, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 294.59 W
2026/08/24 20:02:42.590, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19237 MiB, 81920 MiB, 290.27 W
2026/08/24 20:02:43.596, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19237 MiB, 81920 MiB, 238.85 W
2026/08/24 20:02:44.601, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 295.64 W
2026/08/24 20:02:45.606, NVIDIA A800 80GB PCIe, 100 %, 23 %, 19239 MiB, 81920 MiB, 300.95 W
2026/08/24 20:02:46.612, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19239 MiB, 81920 MiB, 312.79 W
2026/08/24 20:02:47.617, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 288.33 W
2026/08/24 20:02:48.622, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19239 MiB, 81920 MiB, 295.55 W
2026/08/24 20:02:49.628, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 310.98 W
2026/08/24 20:02:50.634, NVIDIA A800 80GB PCIe, 97 %, 22 %, 19239 MiB, 81920 MiB, 292.77 W
2026/08/24 20:02:51.640, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19239 MiB, 81920 MiB, 296.84 W
2026/08/24 20:02:52.645, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 323.93 W
2026/08/24 20:02:53.651, NVIDIA A800 80GB PCIe, 100 %, 22 %, 19239 MiB, 81920 MiB, 280.88 W
2026/08/24 20:02:54.656, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19239 MiB, 81920 MiB, 285.61 W
2026/08/24 20:02:55.662, NVIDIA A800 80GB PCIe, 99 %, 24 %, 19239 MiB, 81920 MiB, 305.72 W
2026/08/24 20:02:56.667, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 280.71 W
2026/08/24 20:02:57.672, NVIDIA A800 80GB PCIe, 99 %, 26 %, 19239 MiB, 81920 MiB, 299.39 W
2026/08/24 20:02:58.678, NVIDIA A800 80GB PCIe, 99 %, 19 %, 19239 MiB, 81920 MiB, 288.06 W
2026/08/24 20:02:59.683, NVIDIA A800 80GB PCIe, 98 %, 24 %, 19239 MiB, 81920 MiB, 281.67 W
2026/08/24 20:03:00.688, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 300.25 W
2026/08/24 20:03:01.693, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19239 MiB, 81920 MiB, 292.79 W
2026/08/24 20:03:02.699, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 293.83 W
2026/08/24 20:03:03.704, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19239 MiB, 81920 MiB, 287.85 W
2026/08/24 20:03:04.709, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 299.77 W
